Choose hometown or travel,age,job,back home frequency,location of work (school),hometown location,distance between the above two,interpersonal relationship,family relationship,gender,financial situation(income),have boy/girlfriend/husband/wife,transportation
back hometown,20,student(part-time),two to three months,north,south,150-200km,never or seldom,normal,male,0-30000,no,HSR or airplane
back hometown,24,student,about a month,north,west,100-150km,attend friend gatherings occasionally (1-2 times a week),good,male,zero,no,train bus or ship
back hometown,26,office worker,about a month,north,north,below 50 km,attend friend gatherings (more than twice a week),good,male,30000-60000,no,drive or ride by yourself
back hometown,20,student,half a year to one year,north,east,150-200km,attend friend gatherings (more than twice a week),good,male,zero,no,train bus or ship
back hometown,19,student,about a month,north,south,over 200 km,attend friend gatherings occasionally (1-2 times a week),good,male,zero,no,train bus or ship
back hometown,17,student,about a month,north,south,over 200 km,attend friend gatherings occasionally (1-2 times a week),not good,male,zero,no,drive or ride by yourself
travel,17,student,once every two weeks(or less),north,north,below 50 km,attend friend gatherings occasionally (1-2 times a week),normal,male,zero,no,train bus or ship
back hometown,18,student,once every two weeks(or less),north,north,below 50 km,never or seldom,good,female,zero,no,train bus or ship
back hometown,26,office worker,once every two weeks(or less),north,north,below 50 km,attend friend gatherings (more than twice a week),good,male,30000-60000,no,drive or ride by yourself
travel,17,student,everyday,west,west,below 50 km,attend friend gatherings occasionally (1-2 times a week),normal,male,zero,no,train bus or ship
back hometown,21,student,once every two weeks(or less),west,west,below 50 km,attend friend gatherings occasionally (1-2 times a week),good,male,zero,no,drive or ride by yourself
travel,22,student(part-time),once every two weeks(or less),north,north,below 50 km,never or seldom,normal,male,0-30000,no,drive or ride by yourself
back hometown,19,student,once every two weeks(or less),south,south,below 50 km,attend friend gatherings occasionally (1-2 times a week),good,male,zero,no,drive or ride by yourself
back hometown,22,student,about a month,north,west,150-200km,attend friend gatherings occasionally (1-2 times a week),normal,male,zero,no,drive or ride by yourself
back hometown,23,student(part-time),about a month,north,south,150-200km,attend friend gatherings occasionally (1-2 times a week),normal,male,zero,no,train bus or ship
back hometown,20,student,once every two weeks(or less),north,north,below 50 km,attend friend gatherings occasionally (1-2 times a week),normal,male,zero,no,train bus or ship
back hometown,18,student(part-time),once every two weeks(or less),north,north,50-100km,attend friend gatherings occasionally (1-2 times a week),normal,male,0-30000,no,train bus or ship
back hometown,33,office worker,once every two weeks(or less),north,north,below 50 km,never or seldom,normal,male,0-30000,no,HSR or airplane
back hometown,20,student(part-time),about a month,north,south,over 200 km,attend friend gatherings occasionally (1-2 times a week),good,male,0-30000,no,HSR or airplane
back hometown,24,student(part-time),three months to half a year,outlying island(foreign),north,150-200km,attend friend gatherings (more than twice a week),normal,female,30000-60000,no,HSR or airplane
back hometown,17,student,everyday,north,north,150-200km,never or seldom,good,male,zero,no,train bus or ship
back hometown,18,student(part-time),about a month,north,west,150-200km,attend friend gatherings occasionally (1-2 times a week),good,male,zero,no,train bus or ship
back hometown,19,student(part-time),about a month,north,west,below 50 km,never or seldom,normal,male,0-30000,no,train bus or ship
back hometown,21,student,once every two weeks(or less),south,south,below 50 km,never or seldom,normal,male,zero,no,drive or ride by yourself
back hometown,22,student,about a month,north,south,over 200 km,never or seldom,good,male,zero,no,train bus or ship
