,e,b,f,k,s,x,y,c,g,n,p,w,t,a,l,h,u,r,o,v,d,m
0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.07578861122490782,0.414584186808685,0.0061450225317492835,0.010651372388365424,0.4928308070462925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.41048750512085214,0.0,0.2122081114297419,0.0,0.377304383449406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.16018025399426464,0.0,0.0,0.0,0.0,0.0,0.12003277345350266,0.009832036050798854,0.2605489553461696,0.2859483818107333,0.0020483408439164277,0.1614092585006145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.2736583367472347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7263416632527653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7652601392871774,0.0,0.0,0.0,0.1134780827529701,0.12126177795985252,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7304383449405981,0.0,0.0,0.0,0.2695616550594019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.9287177386317084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07128226136829169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.10446538303973782,0.0,0.0,0.0,0.0,0.042605489553461696,0.2576812781646866,0.2126177795985252,0.2154854567800082,0.0,0.0,0.0,0.054485866448176976,0.11265874641540352,0.0,0.0,0.0,0.0,0.0
10,0.26300696435886933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7369930356411307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.2523555919705039,0.5403523146251537,0.0,0.0,0.0,0.0,0.0,0.15403523146251535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05325686194182712,0.0,0.0,0.0,0.0
12,0.0,0.0,0.12003277345350266,0.0,0.8754608766898812,0.0,0.004506349856616141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,0.1216714461286358,0.0,0.820565342072921,0.0,0.05776321179844326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1585415813191315,0.004506349856616141,0.16345759934453094,0.6734944694797215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1552642359688652,0.021302744776730848,0.1614092585006145,0.6620237607537894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01188037689471528,0.0,0.0,0.0,0.0,0.0,0.9881196231052847,0.0,0.0,0.0
19,0.24211388775092174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7578861122490782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.46579270790659566,0.0,0.0,0.0,0.0,0.0,0.4916018025399426,0.0,0.02867677181482999,0.0,0.0,0.0,0.0,0.013928717738631708,0.0,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0,0.22204014748054077,0.0,0.28758705448586647,0.0,0.0,0.07701761573125768,0.0,0.0,0.0,0.1077427283900041,0.0,0.0,0.0,0.0,0.0,0.305612453912331,0.0,0.0
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33019254403932813,0.0,0.035641130684145844,0.0,0.0,0.0,0.016796394920114706,0.0,0.027038099139696844,0.0,0.0,0.0,0.5141335518230233,0.07619827939369112
