Id,Category
22792,0
22793,0
22794,1
22795,0
22796,0
22797,1
22798,0
22799,0
22800,0
22801,0
22802,0
22803,0
22804,0
22805,0
22806,0
22807,0
22808,1
22809,0
22810,1
22811,0
22812,0
22813,0
22814,0
22815,0
22816,1
22817,1
22818,0
22819,1
22820,0
22821,0
22822,0
22823,1
22824,0
22825,0
22826,0
22827,0
22828,0
22829,0
22830,0
22831,0
22832,0
22833,0
22834,1
22835,0
22836,1
22837,0
22838,0
22839,0
22840,0
22841,0
22842,0
22843,0
22844,0
22845,0
22846,0
22847,0
22848,0
22849,0
22850,0
22851,0
22852,0
22853,0
22854,0
22855,0
22856,0
22857,0
22858,0
22859,0
22860,0
22861,0
22862,0
22863,0
22864,0
22865,0
22866,0
22867,0
22868,0
22869,0
22870,0
22871,0
22872,0
22873,0
22874,1
22875,0
22876,0
22877,0
22878,0
22879,0
22880,0
22881,0
22882,0
22883,0
22884,0
22885,0
22886,0
22887,0
22888,0
22889,0
22890,0
22891,0
22892,0
22893,0
22894,1
22895,0
22896,0
22897,0
22898,0
22899,0
22900,0
22901,1
22902,0
22903,0
22904,0
22905,0
22906,0
22907,0
22908,1
22909,0
22910,0
22911,0
22912,0
22913,0
22914,0
22915,0
22916,0
22917,0
22918,1
22919,0
22920,1
22921,0
22922,0
22923,1
22924,1
22925,0
22926,0
22927,0
22928,0
22929,0
22930,1
22931,0
22932,0
22933,0
22934,0
22935,0
22936,1
22937,0
22938,0
22939,0
22940,0
22941,1
22942,0
22943,0
22944,1
22945,0
22946,0
22947,0
22948,0
22949,0
22950,0
22951,0
22952,0
22953,0
22954,0
22955,0
22956,0
22957,0
22958,0
22959,0
22960,0
22961,0
22962,0
22963,0
22964,0
22965,1
22966,1
22967,0
22968,0
22969,0
22970,0
22971,0
22972,0
22973,0
22974,0
22975,0
22976,0
22977,0
22978,0
22979,0
22980,0
22981,0
22982,0
22983,1
22984,0
22985,0
22986,0
22987,0
22988,0
22989,0
22990,0
22991,0
22992,0
22993,0
22994,1
22995,0
22996,0
22997,0
22998,0
22999,0
23000,0
23001,0
23002,1
23003,0
23004,0
23005,0
23006,1
23007,0
23008,0
23009,0
23010,0
23011,1
23012,0
23013,0
23014,0
23015,1
23016,0
23017,0
23018,0
23019,0
23020,0
23021,0
23022,1
23023,0
23024,0
23025,0
23026,1
23027,1
23028,0
23029,0
23030,0
23031,0
23032,0
23033,0
23034,0
23035,1
23036,0
23037,0
23038,0
23039,0
23040,0
23041,0
23042,0
23043,1
23044,0
23045,0
23046,0
23047,0
23048,0
23049,0
23050,1
23051,0
23052,1
23053,0
23054,0
23055,0
23056,0
23057,0
23058,1
23059,1
23060,0
23061,0
